trial,chromosome,n_val,spearman_rho,best_n_estimators,pruned
0,2,62104,0.08121351251585779,78,false
0,3,43116,0.0959439460476081,158,false
0,4,41448,0.09051165055225724,92,false
0,5,41200,0.08877798189315649,83,false
0,6,45488,0.09135543245527322,81,false
0,7,36816,0.10004566827925114,156,false
0,8,32904,0.08710494067848067,60,false
0,9,29048,0.09725610140125687,121,false
0,X,11156,0.0639484095244731,472,false
0,Y,1000,0.12259980983252458,86,false
0,10,31808,0.09089300207456485,62,false
0,11,36908,0.07673683541878658,26,false
0,12,39700,0.09357536032716059,42,false
0,13,22392,0.08699123658593513,125,false
0,14,25976,0.08160078937708727,77,false
0,15,27880,0.0870987321059222,52,false
0,16,27972,0.07504902108052362,60,false
0,17,35444,0.09960267974321203,100,false
0,18,18180,0.08305862421039056,53,false
0,19,33552,0.07371792268642306,75,false
0,20,21792,0.08832757316973831,57,false
0,21,11324,0.07161351385082675,39,false
0,22,16664,0.08298348815626798,77,false
1,2,62104,0.08472092735498994,21,false
1,3,43116,0.09523168396699992,30,false
1,4,41448,0.08948910459781059,21,false
1,5,41200,0.09025852671542439,37,false
1,6,45488,0.09107411505411923,25,false
1,7,36816,0.10081021541031097,38,false
1,8,32904,0.09141581377162777,49,false
1,9,29048,0.09496042555152617,31,false
1,X,11156,0.05901411278800345,169,false
1,Y,1000,0.114317474503736,21,false
1,10,31808,0.08675881129190272,21,false
1,11,36908,0.08162953279929118,17,false
1,12,39700,0.09506074032928119,21,false
1,13,22392,0.08666513778983297,21,false
1,14,25976,0.07993137750500597,21,false
1,15,27880,0.09164333112735465,15,false
1,16,27972,0.07816619133700788,31,false
1,17,35444,0.09993036128883137,28,false
1,18,18180,0.08734396816099722,17,false
1,19,33552,0.07224797808952667,33,false
1,20,21792,0.08846855568418378,19,false
1,21,11324,0.08104681703356656,9,false
1,22,16664,0.085353437607193,16,false
2,2,62104,0.07991265262489419,197,false
2,3,43116,0.0888808082839134,618,false
2,4,41448,0.08614462065521189,208,false
2,5,41200,0.08506194974084506,200,false
2,6,45488,0.08450373424908948,194,false
2,7,36816,0.09021136224047618,190,false
2,8,32904,0.08379621940651814,165,false
2,9,29048,0.09023606836457247,205,false
2,X,11156,0.06320928179375071,385,false
2,Y,1000,0.09218926167854308,294,false
2,10,31808,0.08486196887850793,171,false
2,11,36908,0.07455858598025493,75,false
2,12,39700,0.08944383384080416,198,false
2,13,22392,0.07875684661364495,168,false
2,14,25976,0.07438999343331965,169,false
2,15,27880,0.08212266281553136,113,false
2,16,27972,0.06972463304437254,194,false
2,17,35444,0.09235326074010532,205,false
2,18,18180,0.0752827160885251,87,false
2,19,33552,0.06830590784313868,158,false
2,20,21792,0.08595538777179071,103,false
2,21,11324,0.06650312068858528,116,false
2,22,16664,0.08243266042599484,206,false
3,2,62104,0.08158987801581889,260,false
3,3,43116,0.09174410537657424,467,false
3,4,41448,0.08717736657173748,257,false
3,5,41200,0.08686130854610825,234,false
3,6,45488,0.08704023424330345,245,false
3,7,36816,0.09126422073241833,820,false
3,8,32904,0.08464077738201327,228,false
3,9,29048,0.09288247042969981,234,false
3,X,11156,0.06406632012744044,689,false
3,Y,1000,0.1020722816437446,310,false
3,10,31808,0.08618361696402793,239,false
3,11,36908,0.07644482940371923,92,false
3,12,39700,0.09152963409923835,222,false
3,13,22392,0.08066828744562321,233,false
3,14,25976,0.07610921130293308,215,false
3,15,27880,0.0846868834171708,155,false
3,16,27972,0.07111904201669351,226,false
3,17,35444,0.09422483634764159,255,false
3,18,18180,0.07847645919967865,121,false
3,19,33552,0.06953743261103729,209,false
3,20,21792,0.08585764229976395,134,false
3,21,11324,0.06805450426444704,137,false
3,22,16664,0.08094827530270071,267,false
4,2,62104,0.07143854566211022,83,false
4,3,43116,0.08503285959858775,181,false
4,4,41448,0.07804574475117212,114,false
4,5,41200,0.08015050658628853,159,false
4,6,45488,0.08134634689687649,130,false
4,7,36816,0.0828771821761715,99,false
4,8,32904,0.08526574704583714,74,false
4,9,29048,0.08392321383433862,56,false
4,X,11156,0.05553583640546523,96,false
4,Y,1000,0.09503403525138314,45,false
4,10,31808,0.07623163819783171,245,false
4,11,36908,0.06705499173385412,26,false
4,12,39700,0.08551093167524483,45,false
4,13,22392,0.07068069476585692,45,false
4,14,25976,0.06759563757743686,45,false
4,15,27880,0.07512161493413878,34,false
4,16,27972,0.07443148846579135,232,false
4,17,35444,0.08391474506999799,86,false
4,18,18180,0.06965276139035684,28,false
4,19,33552,0.06942291700286612,49,false
4,20,21792,0.0812776445145482,28,false
4,21,11324,0.06248220764157536,31,false
4,22,16664,0.06885657200072139,100,false
5,2,62104,0.07596949032016809,19,false
5,3,43116,0.08883996129044239,54,false
5,4,41448,0.08668868301223974,14,false
5,5,41200,0.07983975609724848,19,false
5,6,45488,0.08498144293699422,16,false
5,7,36816,0.09410019378605812,132,false
5,8,32904,0.08314883765403983,19,false
5,9,29048,0.08974091071946064,17,false
5,X,11156,0.05485999928098404,240,false
5,Y,1000,0.11266978346357194,85,false
5,10,31808,0.08512651574709262,17,false
5,11,36908,0.07512579300909701,5,false
5,12,39700,0.09052499290368574,15,false
5,13,22392,0.08167646129303564,17,false
5,14,25976,0.07511546337477351,16,false
5,15,27880,0.08237562831031651,12,false
5,16,27972,0.0745226656668298,52,false
5,17,35444,0.09161436592882365,11,false
5,18,18180,0.08131478947672735,8,false
5,19,33552,0.06877961048250061,27,false
5,20,21792,0.09330234462129984,10,false
5,21,11324,0.06849144813000446,12,false
5,22,16664,0.08459157665070459,17,false
6,2,62104,0.08366555138899096,327,false
6,3,43116,0.09678743002006332,519,false
6,4,41448,0.0918029229012135,396,false
6,5,41200,0.08866046089723534,350,false
6,6,45488,0.09225312864393603,301,false
6,7,36816,0.09880610019487478,797,false
6,8,32904,0.08881087230132804,236,false
6,9,29048,0.09775053430064122,379,false
6,X,11156,0.06541822921976918,1173,false
6,Y,1000,0.12141706699147968,268,false
6,10,31808,0.08997626254625243,517,false
6,11,36908,0.0775180288894872,117,false
6,12,39700,0.09592467966186956,148,false
6,13,22392,0.08633128622023273,427,false
6,14,25976,0.08022558710009794,252,false
6,15,27880,0.08650911466637827,180,false
6,16,27972,0.07715805265361853,283,false
6,17,35444,0.09888605267630507,355,false
6,18,18180,0.08237785119481872,178,false
6,19,33552,0.07358410915668948,277,false
6,20,21792,0.08997030794192146,216,false
6,21,11324,0.07467264767165638,186,false
6,22,16664,0.08565172033966284,272,false
7,2,62104,0.08247950476622846,179,false
7,3,43116,0.09604301986747527,325,false
7,4,41448,0.09251019007440672,220,false
7,5,41200,0.08681393680897065,174,false
7,6,45488,0.09135082160972521,134,false
7,7,36816,0.09904708544864385,199,false
7,8,32904,0.08567102200998973,92,false
7,9,29048,0.09662654728809428,168,false
7,X,11156,0.06130466690229056,950,false
7,Y,1000,0.12150875164157034,176,false
7,10,31808,0.08995678374281707,196,false
7,11,36908,0.07781148287813613,61,false
7,12,39700,0.09592761985591243,103,false
7,13,22392,0.0872861798295498,212,false
7,14,25976,0.07953321078974109,167,false
7,15,27880,0.08669769795003934,108,false
7,16,27972,0.07629461778776819,151,false
7,17,35444,0.09883804838588806,196,false
7,18,18180,0.08336242551753974,95,false
7,19,33552,0.07283426016937507,116,false
7,20,21792,0.08844842718583408,118,false
7,21,11324,0.0718484890945877,101,false
7,22,16664,0.08434264929098724,173,false
8,2,62104,0.0803017144215316,333,false
8,3,43116,0.08794482089060639,693,false
8,4,41448,0.08082092881116236,449,false
8,5,41200,0.08522110719805402,323,false
8,6,45488,0.08529011114707467,371,false
8,7,36816,0.09066043422999726,327,false
8,8,32904,0.0847407103704655,279,false
8,9,29048,0.09077959365882134,324,false
8,X,11156,0.05873110127268235,3525,false
8,Y,1000,0.10452284786032216,351,false
8,10,31808,0.08514014608316067,315,false
8,11,36908,0.07779305119197506,113,false
8,12,39700,0.08941060382624298,277,false
8,13,22392,0.08201268439378911,271,false
8,14,25976,0.07758857327051609,278,false
8,15,27880,0.08634991325744462,170,false
8,16,27972,0.07420705112234714,400,false
8,17,35444,0.09563225845294938,279,false
8,18,18180,0.08076455935690055,157,false
8,19,33552,0.07068190222256802,275,false
8,20,21792,0.08763182731844296,170,false
8,21,11324,0.07079543662163595,170,false
8,22,16664,0.08105169888927853,345,false
9,2,62104,0.07974547083001061,151,false
9,3,43116,0.08853834017268494,355,false
9,4,41448,0.08641801123359369,209,false
9,5,41200,0.08573382369243829,154,false
9,6,45488,0.0858607654875803,152,false
9,7,36816,0.09167668145410066,162,false
9,8,32904,0.08295944926842577,92,false
9,9,29048,0.0921213863145242,141,false
9,X,11156,0.05915410002542543,947,false
9,Y,1000,0.09847034332594563,287,false
9,10,31808,0.0859967441271338,146,false
9,11,36908,0.07510179873515241,76,false
9,12,39700,0.08988679335174575,142,false
9,13,22392,0.07940631485541876,149,false
9,14,25976,0.07496160621756975,141,false
9,15,27880,0.08349586854162155,81,false
9,16,27972,0.07075458380100179,142,false
9,17,35444,0.09302217817671637,152,false
9,18,18180,0.08012537340831427,70,false
9,19,33552,0.06886679703059871,110,false
9,20,21792,0.08557542023432911,73,false
9,21,11324,0.06627149154492887,81,false
9,22,16664,0.08038383970846166,149,false
10,2,62104,0.0888490528360217,16,false
10,3,43116,0.0949751494545619,25,false
10,4,41448,0.09411942777369213,17,false
10,5,41200,0.09211317994973357,21,false
10,6,45488,0.0941552939881844,17,false
10,7,36816,0.09911539777578227,26,false
10,8,32904,0.09189956019627038,15,false
10,9,29048,0.09661767407093001,22,false
10,X,11156,0.05887263194374115,87,false
10,Y,1000,0.12296118608640189,21,false
10,10,31808,0.09021387942360579,20,false
10,11,36908,0.0856832626805968,3,false
10,12,39700,0.09817218159815921,16,false
10,13,22392,0.08480121435192636,38,false
10,14,25976,0.08141595690107806,16,false
10,15,27880,0.0904807770838518,17,false
10,16,27972,0.08033052305733053,17,false
10,17,35444,0.09949836258100604,16,false
10,18,18180,0.09230250540692013,9,false
10,19,33552,0.07281294452132125,26,false
10,20,21792,0.08681039186584678,36,false
10,21,11324,0.08477172037427554,4,false
10,22,16664,0.08499873768596078,16,false
11,2,62104,0.08613480132570028,17,false
11,3,43116,0.09491173500758282,22,false
11,4,41448,0.09323120687220114,21,false
11,5,41200,0.10387139581848628,9,false
11,6,45488,0.09511187685265425,17,false
11,7,36816,0.0991885033360459,69,false
11,8,32904,0.08985785654745876,15,false
11,9,29048,0.09575847191016668,22,false
11,X,11156,0.07025755220722563,151,false
11,Y,1000,0.12943309303607117,27,false
11,10,31808,0.09118919643076304,20,false
11,11,36908,0.08619738835981709,3,false
11,12,39700,0.09802150469903126,16,false
11,13,22392,0.08660440978403838,21,false
11,14,25976,0.08156233092238771,16,false
11,15,27880,0.08710425473003693,23,false
11,16,27972,0.07946399151735097,13,false
11,17,35444,0.09835932734130821,20,false
11,18,18180,0.09317508871199547,9,false
11,19,33552,0.0708823947729652,26,false
11,20,21792,0.086634890521651,42,false
11,21,11324,0.08315029900006815,4,false
11,22,16664,0.08553045350677041,17,false
12,2,62104,0.0897209060878234,14,false
12,3,43116,0.09743930994153331,17,false
12,4,41448,0.09318066453868942,22,false
12,5,41200,0.09193439901131006,27,false
12,6,45488,0.09044231678103705,17,false
12,7,36816,0.10010968422208776,14,false
12,8,32904,0.09070240895290865,14,false
12,9,29048,0.09894371860998777,16,false
12,X,11156,0.057482856582358355,83,false
12,Y,1000,0.12250966766915465,16,false
12,10,31808,0.09451907156468933,17,false
12,11,36908,0.08623720139069176,3,false
12,12,39700,0.098771948086384,17,false
12,13,22392,0.08845081033110816,18,false
12,14,25976,0.0821424019907972,17,false
12,15,27880,0.09035091643635859,17,false
12,16,27972,0.0805237164083471,20,false
12,17,35444,0.09890822910895704,17,false
12,18,18180,0.09332013860096779,9,false
12,19,33552,0.07240266053334866,28,false
12,20,21792,0.08597852168950702,77,false
12,21,11324,0.07805018620315829,14,false
12,22,16664,0.08376202482783948,22,false
13,2,62104,0.09073865250734728,15,false
13,3,43116,0.09892960699675565,14,false
13,4,41448,0.09732340604384321,15,false
13,5,41200,0.09619282111719041,15,false
13,6,45488,0.09914596408553344,14,false
13,7,36816,0.1010624752040873,21,false
13,8,32904,0.08620281016222935,6,false
13,9,29048,0.10102666140199704,20,false
13,X,11156,0.04849010361722652,230,false
13,Y,1000,0.12388367461534293,9,false
13,10,31808,0.0900902213497925,17,false
13,11,36908,0.08008588577727745,5,false
13,12,39700,0.09896791119796872,9,false
13,13,22392,0.0885203829757278,18,false
13,14,25976,0.08315835643666929,14,false
13,15,27880,0.08843416901226728,6,false
13,16,27972,0.08061420334185222,13,false
13,17,35444,0.10017110841897363,11,false
13,18,18180,0.0843663137524301,5,false
13,19,33552,0.07298968700434559,13,false
13,20,21792,0.08810330329856568,17,false
13,21,11324,0.07871635246978456,9,false
13,22,16664,0.08522784883036262,9,false
14,2,62104,0.08470680259258932,29,true
14,3,43116,0.0931949706084813,72,true
14,4,41448,0.09095646304864384,28,true
14,5,41200,0.08531300958380171,28,true
14,6,45488,0.09374601805522793,24,true
14,7,36816,0.09383476253157551,122,true
15,2,62104,0.08664299911342854,46,false
15,3,43116,0.09496808785079759,78,false
15,4,41448,0.09278581134911759,44,false
15,5,41200,0.08996990802608756,43,false
15,6,45488,0.0938148855687888,49,false
15,7,36816,0.10173213218543352,168,false
15,8,32904,0.0882715417205293,40,false
15,9,29048,0.09869644519934845,51,false
15,X,11156,0.05946113176112785,324,false
15,Y,1000,0.12660076720848817,50,false
15,10,31808,0.08809789049574734,71,false
15,11,36908,0.08290816855080017,21,false
15,12,39700,0.0994577263140484,34,false
15,13,22392,0.08753272281506795,34,false
15,14,25976,0.0814787586525012,36,false
15,15,27880,0.09103506874519174,40,false
15,16,27972,0.0778356755033808,60,false
15,17,35444,0.101606241088546,79,false
15,18,18180,0.08687455940834735,21,false
15,19,33552,0.07465042239958787,36,false
15,20,21792,0.08855035043821045,36,false
15,21,11324,0.07900188062087311,21,false
15,22,16664,0.08582248381618558,45,false
16,2,62104,0.09063586945408894,19,false
16,3,43116,0.0944978686621111,37,false
16,4,41448,0.09602285281512699,22,false
16,5,41200,0.09403438479109902,17,false
16,6,45488,0.09462688720958046,16,false
16,7,36816,0.09404523378242159,61,false
16,8,32904,0.08964244479464674,17,false
16,9,29048,0.09810980707977195,19,false
16,X,11156,0.058083021727554446,258,false
16,Y,1000,0.13721008463495132,53,false
16,10,31808,0.08904249642363407,30,false
16,11,36908,0.08047372777132447,5,false
16,12,39700,0.09755799191436325,9,false
16,13,22392,0.08556527654574327,36,false
16,14,25976,0.08389942065016638,17,false
16,15,27880,0.09192652185326039,9,false
16,16,27972,0.0779543053997251,20,false
16,17,35444,0.0998281265132988,17,false
16,18,18180,0.08690322560906945,14,false
16,19,33552,0.07363729847938508,9,false
16,20,21792,0.08694726206183795,14,false
16,21,11324,0.07782102585847434,14,false
16,22,16664,0.08450601821841039,22,false
17,2,62104,0.08781446015284632,46,false
17,3,43116,0.09716267528975492,78,false
17,4,41448,0.09087227557985518,63,false
17,5,41200,0.09134724262638924,47,false
17,6,45488,0.09473101058142883,50,false
17,7,36816,0.10065372852031701,107,false
17,8,32904,0.08951877152873458,50,false
17,9,29048,0.09763294357036092,46,false
17,X,11156,0.059590093876439876,158,false
17,Y,1000,0.1307000653840562,58,false
17,10,31808,0.09125018999236606,51,false
17,11,36908,0.08331843973024824,17,false
17,12,39700,0.09658965847062345,34,false
17,13,22392,0.08692940365934579,76,false
17,14,25976,0.0808872729223142,44,false
17,15,27880,0.08772576315440209,30,false
17,16,27972,0.07823224397714534,66,false
17,17,35444,0.1005228672515075,45,false
17,18,18180,0.08741731528891535,21,false
17,19,33552,0.07280781269061985,42,false
17,20,21792,0.08912121398067652,45,false
17,21,11324,0.07610221543639767,23,false
17,22,16664,0.08493367347841115,46,false
18,2,62104,0.08458016076033698,31,true
18,3,43116,0.09447803966285102,33,true
18,4,41448,0.09536993368086048,31,true
18,5,41200,0.09013743712035503,63,true
18,6,45488,0.09103588565682146,31,true
18,7,36816,0.09614123717326141,75,true
18,8,32904,0.08634095645644588,30,true
18,9,29048,0.09875649962349241,34,true
19,2,62104,0.08595956988900608,16,false
19,3,43116,0.09725786219143415,21,false
19,4,41448,0.09421752927575565,22,false
19,5,41200,0.09161832869458328,17,false
19,6,45488,0.09316070513953914,19,false
19,7,36816,0.10504402081030617,16,false
19,8,32904,0.09017053431716736,25,false
19,9,29048,0.09855670109531732,14,false
19,X,11156,0.06812395915089879,47,false
19,Y,1000,0.1263796470537707,25,false
19,10,31808,0.0915161292021261,31,false
19,11,36908,0.06381807377923877,2,false
19,12,39700,0.09835318043889431,16,false
19,13,22392,0.08522572638317732,21,false
19,14,25976,0.07881743861593679,9,false
19,15,27880,0.08750829928989064,19,false
19,16,27972,0.08009504635180575,17,false
19,17,35444,0.09967645087794802,18,false
19,18,18180,0.08647812542199926,9,false
19,19,33552,0.074775719989787,10,false
19,20,21792,0.08722288852504932,56,false
19,21,11324,0.08093594163854095,16,false
19,22,16664,0.08706167345569721,16,false
20,2,62104,0.08339977595646667,10,true
20,3,43116,0.09605309264654385,16,true
20,4,41448,0.0921176861726877,13,true
20,5,41200,0.08768282887725874,8,true
20,6,45488,0.09164578714457297,10,true
20,7,36816,0.09903744442916428,13,true
21,2,62104,0.08637183984351567,17,false
21,3,43116,0.0949713215404024,22,false
21,4,41448,0.09415087411107784,22,false
21,5,41200,0.09619386520775992,17,false
21,6,45488,0.09177822415751127,17,false
21,7,36816,0.10068656310254262,74,false
21,8,32904,0.09117179583752036,15,false
21,9,29048,0.09794027125136544,16,false
21,X,11156,0.05921985654186568,143,false
21,Y,1000,0.12949905662326722,20,false
21,10,31808,0.093656555982584,18,false
21,11,36908,0.08665430238163978,3,false
21,12,39700,0.09828599228805562,16,false
21,13,22392,0.088392506626096,16,false
21,14,25976,0.0817534786464932,17,false
21,15,27880,0.09043678832666938,17,false
21,16,27972,0.07881406231029474,13,false
21,17,35444,0.09916521723128632,34,false
21,18,18180,0.09420347786509631,9,false
21,19,33552,0.07236814861254,21,false
21,20,21792,0.08689283943800981,26,false
21,21,11324,0.07847441859658669,13,false
21,22,16664,0.08522700401107347,17,false
22,2,62104,0.08529456978880368,20,false
22,3,43116,0.09605784161175511,21,false
22,4,41448,0.09611184864405423,16,false
22,5,41200,0.09285749469427622,67,false
22,6,45488,0.09336163537954749,19,false
22,7,36816,0.10155485607202668,28,false
22,8,32904,0.08869992615048222,14,false
22,9,29048,0.09918618322620011,14,false
22,X,11156,0.061474898353711324,125,false
22,Y,1000,0.13011476521083373,28,false
22,10,31808,0.09024958161476147,30,false
22,11,36908,0.06967767309245886,3,false
22,12,39700,0.09887990325939011,16,false
22,13,22392,0.08655463319357092,38,false
22,14,25976,0.0810465092379961,16,false
22,15,27880,0.09006298606985556,15,false
22,16,27972,0.08233515832836204,34,false
22,17,35444,0.10056778870303466,19,false
22,18,18180,0.08877418589871672,15,false
22,19,33552,0.07481645650817038,16,false
22,20,21792,0.08666104008868931,52,false
22,21,11324,0.07881847226828206,9,false
22,22,16664,0.08395712037421822,16,false
23,2,62104,0.08646140807978624,22,false
23,3,43116,0.09601274905741843,26,false
23,4,41448,0.09523260758823156,26,false
23,5,41200,0.09465218478547036,17,false
