trial,fold,n_val,n_pos_val,auprc,C
0,0,5002,223,0.13188491149988563,0.017670169402947963
0,1,5002,224,0.10740793659160916,0.017670169402947963
0,2,5002,224,0.13015871530142556,0.017670169402947963
0,3,5002,224,0.10294411149929147,0.017670169402947963
0,4,5002,224,0.14890902203032574,0.017670169402947963
1,0,5002,223,0.13173007211093551,50.615768887523046
1,1,5002,224,0.10719371156265191,50.615768887523046
1,2,5002,224,0.12996020075855588,50.615768887523046
1,3,5002,224,0.10332352371211732,50.615768887523046
1,4,5002,224,0.14879050488791415,50.615768887523046
2,0,5002,223,0.13174758448026824,2.4658329458549115
2,1,5002,224,0.10722330264973871,2.4658329458549115
2,2,5002,224,0.12992772710024497,2.4658329458549115
2,3,5002,224,0.10338103820090802,2.4658329458549115
2,4,5002,224,0.1488208191363468,2.4658329458549115
3,0,5002,223,0.13174747549825896,0.39079671568228824
3,1,5002,224,0.10724257210895229,0.39079671568228824
3,2,5002,224,0.12995797515079532,0.39079671568228824
3,3,5002,224,0.10334412540494337,0.39079671568228824
3,4,5002,224,0.14881707743199402,0.39079671568228824
4,0,5002,223,0.13015125936533625,0.0008632008168602552
4,1,5002,224,0.10621363679980791,0.0008632008168602552
4,2,5002,224,0.12924628418117962,0.0008632008168602552
4,3,5002,224,0.10306433161013082,0.0008632008168602552
4,4,5002,224,0.14805471412570909,0.0008632008168602552
5,0,5002,223,0.1301711626230228,0.0008629132190071866
5,1,5002,224,0.10628713416329132,0.0008629132190071866
5,2,5002,224,0.12899269377454783,0.0008629132190071866
5,3,5002,224,0.10326981606034215,0.0008629132190071866
5,4,5002,224,0.14781215940013762,0.0008629132190071866
6,0,5002,223,0.12801429895662308,0.00022310108018679258
6,1,5002,224,0.10619580454979977,0.00022310108018679258
6,2,5002,224,0.12675215674400864,0.00022310108018679258
6,3,5002,224,0.10273444431959457,0.00022310108018679258
6,4,5002,224,0.14759503163134563,0.00022310108018679258
7,0,5002,223,0.1317208520136207,15.741890047456641
7,1,5002,224,0.10721773582049508,15.741890047456641
7,2,5002,224,0.1299675980857428,15.741890047456641
7,3,5002,224,0.10335682693776325,15.741890047456641
7,4,5002,224,0.14885846041055992,15.741890047456641
8,0,5002,223,0.1317055563036291,0.4042872735027334
8,1,5002,224,0.10719467147116564,0.4042872735027334
8,2,5002,224,0.1299385748725574,0.4042872735027334
8,3,5002,224,0.1033777263533695,0.4042872735027334
8,4,5002,224,0.1488130688215111,0.4042872735027334
9,0,5002,223,0.13171048352878686,1.7718847354806824
9,1,5002,224,0.1072235611516124,1.7718847354806824
9,2,5002,224,0.129933237858187,1.7718847354806824
9,3,5002,224,0.10337498359500515,1.7718847354806824
9,4,5002,224,0.14882343889196717,1.7718847354806824
10,0,5002,223,0.13189791089252473,0.02977751217076364
10,1,5002,224,0.10724104321200713,0.02977751217076364
10,2,5002,224,0.1299347624582419,0.02977751217076364
10,3,5002,224,0.10337879672120233,0.02977751217076364
10,4,5002,224,0.14877967580878515,0.02977751217076364
11,0,5002,223,0.13184312128170064,0.021883188527768244
11,1,5002,224,0.10739862022765237,0.021883188527768244
11,2,5002,224,0.1299747349838653,0.021883188527768244
11,3,5002,224,0.10335190179269194,0.021883188527768244
11,4,5002,224,0.14889487940499563,0.021883188527768244
12,0,5002,223,0.13187888907044507,0.015199855220182483
12,1,5002,224,0.10740365214979519,0.015199855220182483
12,2,5002,224,0.13016683389338468,0.015199855220182483
12,3,5002,224,0.10294374048786921,0.015199855220182483
12,4,5002,224,0.14891272819302714,0.015199855220182483
13,0,5002,223,0.1320437948777449,0.012053282859112415
13,1,5002,224,0.1074908352714764,0.012053282859112415
13,2,5002,224,0.13017657526028786,0.012053282859112415
13,3,5002,224,0.10292304938988814,0.012053282859112415
13,4,5002,224,0.148745024502987,0.012053282859112415
14,0,5002,223,0.1320183591485492,0.0031420973126144846
14,1,5002,224,0.10706450159745258,0.0031420973126144846
14,2,5002,224,0.12990909399944056,0.0031420973126144846
14,3,5002,224,0.10298844997499085,0.0031420973126144846
14,4,5002,224,0.1485675899628251,0.0031420973126144846
15,0,5002,223,0.1317263174208285,0.09395002948485492
15,1,5002,224,0.10725600464671561,0.09395002948485492
15,2,5002,224,0.1299674016599906,0.09395002948485492
15,3,5002,224,0.1033834228629015,0.09395002948485492
15,4,5002,224,0.14878552933631808,0.09395002948485492
16,0,5002,223,0.13206368535703816,0.004377231091001065
16,1,5002,224,0.10747762629161609,0.004377231091001065
16,2,5002,224,0.13033774294410816,0.004377231091001065
16,3,5002,224,0.10340673828151807,0.004377231091001065
16,4,5002,224,0.1485986376103075,0.004377231091001065
17,0,5002,223,0.13187413240978907,0.003359603128982946
17,1,5002,224,0.10714023670284667,0.003359603128982946
17,2,5002,224,0.1299001843083738,0.003359603128982946
17,3,5002,224,0.10295901651164263,0.003359603128982946
17,4,5002,224,0.1485082482928984,0.003359603128982946
