split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.6268,0.1169,0.0764,0.2222,0.0462,0.9413
HAP1,494,26,0.0526,0.4758,0.0956,0.0,0.0,0.0,0.9474
HEK293FT,494,24,0.0486,0.5675,0.0939,0.0,0.0,0.0,0.9514
K562,494,39,0.0789,0.7441,0.1856,0.1818,0.2222,0.1538,0.8907
MDA-MB-231,494,20,0.0405,0.5613,0.1893,0.0,0.0,0.0,0.9595
THP1,494,21,0.0425,0.6176,0.1271,0.0,0.0,0.0,0.9575
