trial,fold,n_val,n_pos_val,auprc,C
0,0,5002,223,0.1208130349818591,0.017670169402947963
0,1,5002,224,0.10110546769656001,0.017670169402947963
0,2,5002,224,0.12969479483187046,0.017670169402947963
0,3,5002,224,0.10542900975253111,0.017670169402947963
0,4,5002,224,0.15133173905016434,0.017670169402947963
1,0,5002,223,0.11852217682989183,50.615768887523046
1,1,5002,224,0.09705950976363802,50.615768887523046
1,2,5002,224,0.12731429763324142,50.615768887523046
1,3,5002,224,0.10341796375459428,50.615768887523046
1,4,5002,224,0.14654679794554007,50.615768887523046
2,0,5002,223,0.12010551893965349,2.4658329458549115
2,1,5002,224,0.10001366554182647,2.4658329458549115
2,2,5002,224,0.129547109158129,2.4658329458549115
2,3,5002,224,0.10459316474510386,2.4658329458549115
2,4,5002,224,0.14930396666421414,2.4658329458549115
3,0,5002,223,0.12083349342152036,0.39079671568228824
3,1,5002,224,0.10056601025475623,0.39079671568228824
3,2,5002,224,0.12965879212499748,0.39079671568228824
3,3,5002,224,0.10498711778095032,0.39079671568228824
3,4,5002,224,0.14978475722834203,0.39079671568228824
4,0,5002,223,0.12072641203264406,0.0008632008168602552
4,1,5002,224,0.10112498140495108,0.0008632008168602552
4,2,5002,224,0.12974753890295393,0.0008632008168602552
4,3,5002,224,0.10548398738548137,0.0008632008168602552
4,4,5002,224,0.15136468728180386,0.0008632008168602552
5,0,5002,223,0.12081670143163686,0.0008629132190071866
5,1,5002,224,0.1008827521891236,0.0008629132190071866
5,2,5002,224,0.12971555006395827,0.0008629132190071866
5,3,5002,224,0.10542259817951619,0.0008629132190071866
5,4,5002,224,0.15136127500329782,0.0008629132190071866
6,0,5002,223,0.12077099687320426,0.00022310108018679258
6,1,5002,224,0.1006271941408415,0.00022310108018679258
6,2,5002,224,0.1291949253612456,0.00022310108018679258
6,3,5002,224,0.10534150896135107,0.00022310108018679258
6,4,5002,224,0.15161626467516992,0.00022310108018679258
7,0,5002,223,0.119145228304008,15.741890047456641
7,1,5002,224,0.09843741471181539,15.741890047456641
7,2,5002,224,0.12830370516014733,15.741890047456641
7,3,5002,224,0.1040933112670633,15.741890047456641
7,4,5002,224,0.14772031259139523,15.741890047456641
8,0,5002,223,0.1208363804048698,0.4042872735027334
8,1,5002,224,0.1005547821437195,0.4042872735027334
8,2,5002,224,0.12965739650448266,0.4042872735027334
8,3,5002,224,0.10498649336651092,0.4042872735027334
