split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.6381,0.1008,0.1441,0.0827,0.5615,0.649
HAP1,494,26,0.0526,0.5384,0.0639,0.1093,0.0637,0.3846,0.67
HEK293FT,494,24,0.0486,0.6074,0.1216,0.1224,0.0679,0.625,0.5648
K562,494,39,0.0789,0.6877,0.1552,0.1838,0.1027,0.8718,0.3887
MDA-MB-231,494,20,0.0405,0.6726,0.1176,0.1389,0.0962,0.25,0.8745
THP1,494,21,0.0425,0.5999,0.0878,0.1259,0.0738,0.4286,0.747
