trial,fold,n_val,n_pos_val,auprc,scale_pos_weight,best_n_estimators
0,0,5002,223,0.19396859285352644,1.0,26
0,1,5002,224,0.14480503498953337,1.0,71
0,2,5002,224,0.19228750669269878,1.0,37
0,3,5002,224,0.11869227703286445,1.0,27
0,4,5002,224,0.16436086383683732,1.0,39
1,0,5002,223,0.16436273382357663,1.0,45
1,1,5002,224,0.13916249146110116,1.0,32
1,2,5002,224,0.18087554472808973,1.0,33
1,3,5002,224,0.11393344074029665,1.0,12
1,4,5002,224,0.16371636385883265,1.0,18
2,0,5002,223,0.17935062792013579,1.0,323
2,1,5002,224,0.12793206792145764,1.0,95
2,2,5002,224,0.2004659974675429,1.0,442
2,3,5002,224,0.128052573696535,1.0,423
2,4,5002,224,0.1653323904781076,1.0,191
3,0,5002,223,0.17436272553751841,1.0,474
3,1,5002,224,0.12661382264921822,1.0,129
3,2,5002,224,0.20214680969688725,1.0,561
3,3,5002,224,0.13468497116547332,1.0,280
3,4,5002,224,0.18783541981697333,1.0,413
4,0,5002,223,0.16150520365651483,1.0,249
4,1,5002,224,0.13973438923325449,1.0,151
4,2,5002,224,0.19387184107412236,1.0,264
4,3,5002,224,0.13769743817616273,1.0,268
4,4,5002,224,0.18138925076172566,1.0,194
5,0,5002,223,0.14989444333312296,1.0,101
5,1,5002,224,0.15966636476901003,1.0,45
5,2,5002,224,0.1696347238889346,1.0,51
5,3,5002,224,0.10796237283371748,1.0,30
5,4,5002,224,0.14138281562347416,1.0,58
6,0,5002,223,0.1922005741168095,1.0,210
6,1,5002,224,0.16023435410876935,1.0,262
6,2,5002,224,0.2024036779668754,1.0,290
6,3,5002,224,0.1387680846766305,1.0,239
6,4,5002,224,0.1885722190725287,1.0,258
7,0,5002,223,0.17836230770387945,1.0,269
7,1,5002,224,0.16446293845106286,1.0,233
7,2,5002,224,0.19528877142763165,1.0,265
7,3,5002,224,0.13792860165267817,1.0,226
7,4,5002,224,0.19119517344416392,1.0,224
8,0,5002,223,0.17349339937676414,1.0,503
8,1,5002,224,0.1522898871585989,1.0,750
8,2,5002,224,0.19370920214570764,1.0,498
8,3,5002,224,0.12825043465078012,1.0,444
8,4,5002,224,0.17651145517655917,1.0,602
9,0,5002,223,0.17095184495911817,1.0,489
9,1,5002,224,0.1403158465689769,1.0,153
9,2,5002,224,0.19692416735564566,1.0,499
9,3,5002,224,0.13795357866450655,1.0,260
9,4,5002,224,0.18919007423203923,1.0,322
10,0,5002,223,0.16903335308565515,1.0,66
10,1,5002,224,0.1487601067580476,1.0,52
10,2,5002,224,0.1862644897735071,1.0,84
11,0,5002,223,0.17823468398967315,1.0,346
11,1,5002,224,0.16471560596275733,1.0,365
11,2,5002,224,0.1794867115012762,1.0,784
11,3,5002,224,0.1286509428839219,1.0,300
11,4,5002,224,0.16710912549640725,1.0,306
12,0,5002,223,0.1771250544384446,1.0,122
12,1,5002,224,0.16689531089595516,1.0,101
12,2,5002,224,0.18185181764274522,1.0,67
12,3,5002,224,0.13597719846666942,1.0,71
12,4,5002,224,0.1736785836513639,1.0,99
13,0,5002,223,0.1716057011711623,1.0,282
13,1,5002,224,0.14121196175160763,1.0,35
13,2,5002,224,0.20187519692740571,1.0,186
13,3,5002,224,0.13866104427164033,1.0,144
13,4,5002,224,0.17436140982205023,1.0,189
14,0,5002,223,0.1909619763003124,1.0,87
14,1,5002,224,0.15652418673016463,1.0,105
14,2,5002,224,0.19437666730565525,1.0,74
14,3,5002,224,0.12674566869397358,1.0,48
14,4,5002,224,0.1651975300730758,1.0,77
15,0,5002,223,0.1690597678116751,1.0,122
15,1,5002,224,0.14824625812900716,1.0,126
15,2,5002,224,0.18977939918301778,1.0,70
16,0,5002,223,0.18506257700961581,1.0,49
16,1,5002,224,0.15292819245325248,1.0,51
16,2,5002,224,0.191494522005762,1.0,77
16,3,5002,224,0.12133451768755313,1.0,53
16,4,5002,224,0.1641729316933072,1.0,40
17,0,5002,223,0.18501864085231295,1.0,212
17,1,5002,224,0.13748957441294046,1.0,52
17,2,5002,224,0.2028575058419689,1.0,261
17,3,5002,224,0.14433313123390806,1.0,272
17,4,5002,224,0.17161437741840296,1.0,370
18,0,5002,223,0.17502199408907357,1.0,187
18,1,5002,224,0.16252855861340365,1.0,185
18,2,5002,224,0.19684182709102407,1.0,166
18,3,5002,224,0.13688733453388163,1.0,139
18,4,5002,224,0.17962412319238283,1.0,177
19,0,5002,223,0.18013001198277367,1.0,369
19,1,5002,224,0.1585536918867725,1.0,218
19,2,5002,224,0.20389311749472216,1.0,439
19,3,5002,224,0.13047124978974617,1.0,213
19,4,5002,224,0.18174067303838604,1.0,359
20,0,5002,223,0.17534994260120085,1.0,50
20,1,5002,224,0.15014695367175593,1.0,70
20,2,5002,224,0.18591343967235188,1.0,49
20,3,5002,224,0.11131340458809916,1.0,27
20,4,5002,224,0.16788226919648377,1.0,23
21,0,5002,223,0.17304942995490513,1.0,502
21,1,5002,224,0.16469278732852657,1.0,430
21,2,5002,224,0.19850418040673465,1.0,465
21,3,5002,224,0.13164156944520125,1.0,313
21,4,5002,224,0.1791442300232305,1.0,547
22,0,5002,223,0.1764380608534628,1.0,225
22,1,5002,224,0.1555777373724759,1.0,297
22,2,5002,224,0.19601261463702244,1.0,163
22,3,5002,224,0.1317964803081235,1.0,173
22,4,5002,224,0.17628452141957532,1.0,186
23,0,5002,223,0.1880097185843206,1.0,270
