cell_line,n_essential,n_non_essential,n_total_expressed,median_log2tpm_essential,median_log2tpm_non_essential,mannwhitney_p
HAP1,185,3759,3944,1.8923369726036592,1.8923369726036592,0.04988194376483664
HEK293FT,191,3912,4103,2.5227319147231264,1.5353946307817223,0.06401548789184482
K562,302,3457,3759,1.658654604797885,1.285784751054724,0.9342707494431676
MDA-MB-231,121,3590,3711,5.457072747093903,2.6404210732907214,4.87507452584908e-11
THP1,161,3443,3604,5.445534516632919,1.6456600324139035,2.05183736352583e-20
