feature_set,model,holdout,seed,n_features,auroc,auprc
no_kmer,decision_tree,K562,0,42,0.6796,0.1236
no_kmer,decision_tree,MDA-MB-231,0,42,0.6648,0.0877
no_kmer,random_forest,HAP1,0,42,0.6913,0.1564
no_kmer,random_forest,HAP1,1,42,0.6997,0.1584
no_kmer,random_forest,HAP1,2,42,0.6939,0.1529
no_kmer,random_forest,K562,0,42,0.7178,0.1641
no_kmer,random_forest,K562,1,42,0.7162,0.1643
no_kmer,random_forest,K562,2,42,0.7205,0.1669
no_kmer,random_forest,MDA-MB-231,0,42,0.7223,0.1399
no_kmer,random_forest,MDA-MB-231,1,42,0.7291,0.1416
no_kmer,random_forest,MDA-MB-231,2,42,0.7259,0.1411
no_kmer,extra_trees,HAP1,0,42,0.7138,0.1675
no_kmer,extra_trees,HAP1,1,42,0.7124,0.1678
no_kmer,extra_trees,HAP1,2,42,0.7156,0.1704
no_kmer,extra_trees,K562,0,42,0.7097,0.1614
no_kmer,extra_trees,K562,1,42,0.7129,0.1631
no_kmer,extra_trees,K562,2,42,0.709,0.1611
no_kmer,extra_trees,MDA-MB-231,0,42,0.732,0.1526
no_kmer,extra_trees,MDA-MB-231,1,42,0.7297,0.1536
no_kmer,extra_trees,MDA-MB-231,2,42,0.7285,0.1496
no_kmer,adaboost,HAP1,0,42,0.6987,0.1316
no_kmer,adaboost,HAP1,1,42,0.6987,0.1316
no_kmer,adaboost,HAP1,2,42,0.6987,0.1316
no_kmer,adaboost,K562,0,42,0.7174,0.1622
no_kmer,adaboost,K562,1,42,0.7174,0.1622
no_kmer,adaboost,K562,2,42,0.7174,0.1622
no_kmer,adaboost,MDA-MB-231,0,42,0.7176,0.1271
no_kmer,adaboost,MDA-MB-231,1,42,0.7176,0.1271
no_kmer,adaboost,MDA-MB-231,2,42,0.7176,0.1271
no_kmer,gaussian_nb,HAP1,0,42,0.5143,0.044
no_kmer,gaussian_nb,K562,0,42,0.502,0.0732
