part,source,target,weight,seed,auprc,auroc
single_source,MDA-MB-231,K562,1.0,2,0.1454,
single_source,MDA-MB-231,K562,1.0,3,0.1452,
single_source,MDA-MB-231,K562,1.0,4,0.142,
single_source,MDA-MB-231,K562,1.0,5,0.1428,
single_source,MDA-MB-231,K562,1.0,6,0.1428,
single_source,MDA-MB-231,K562,1.0,7,0.1472,
single_source,MDA-MB-231,K562,1.0,8,0.1415,
single_source,MDA-MB-231,K562,1.0,9,0.1438,
single_source,MDA-MB-231,K562,1.0,10,0.1447,
single_source,MDA-MB-231,K562,1.0,11,0.1448,
single_source,MDA-MB-231,K562,1.0,12,0.1466,
single_source,MDA-MB-231,K562,1.0,13,0.1463,
single_source,MDA-MB-231,K562,1.0,14,0.1407,
single_source,MDA-MB-231,K562,1.0,15,0.1386,
single_source,MDA-MB-231,K562,1.0,16,0.1389,
single_source,MDA-MB-231,K562,1.0,17,0.1423,
single_source,MDA-MB-231,K562,1.0,18,0.1454,
single_source,MDA-MB-231,K562,1.0,19,0.1457,
loco_weight,K562+MDA-MB-231,HAP1,equal,0,0.1792,0.7303
loco_weight,K562+MDA-MB-231,HAP1,equal,1,0.181,0.7305
loco_weight,K562+MDA-MB-231,HAP1,equal,2,0.1813,0.7222
loco_weight,K562+MDA-MB-231,HAP1,equal,3,0.187,0.7285
loco_weight,K562+MDA-MB-231,HAP1,equal,4,0.1776,0.7303
loco_weight,K562+MDA-MB-231,HAP1,equal,5,0.1738,0.7239
loco_weight,K562+MDA-MB-231,HAP1,equal,6,0.1817,0.7251
loco_weight,K562+MDA-MB-231,HAP1,equal,7,0.1783,0.7277
loco_weight,K562+MDA-MB-231,HAP1,equal,8,0.1747,0.7257
loco_weight,K562+MDA-MB-231,HAP1,equal,9,0.1817,0.7229
loco_weight,K562+MDA-MB-231,HAP1,equal,10,0.1754,0.7254
loco_weight,K562+MDA-MB-231,HAP1,equal,11,0.1794,0.7256
loco_weight,K562+MDA-MB-231,HAP1,equal,12,0.1783,0.7294
loco_weight,K562+MDA-MB-231,HAP1,equal,13,0.1782,0.7262
loco_weight,K562+MDA-MB-231,HAP1,equal,14,0.1842,0.734
loco_weight,K562+MDA-MB-231,HAP1,equal,15,0.1786,0.7308
loco_weight,K562+MDA-MB-231,HAP1,equal,16,0.1829,0.7258
loco_weight,K562+MDA-MB-231,HAP1,equal,17,0.1812,0.7254
loco_weight,K562+MDA-MB-231,HAP1,equal,18,0.1798,0.7299
loco_weight,K562+MDA-MB-231,HAP1,equal,19,0.1755,0.7247
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,0,0.1839,0.7316
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,1,0.1835,0.7285
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,2,0.1857,0.727
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,3,0.1871,0.7308
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,4,0.1801,0.7284
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,5,0.1836,0.7294
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,6,0.1829,0.7287
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,7,0.179,0.7305
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,8,0.181,0.723
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,9,0.1825,0.7288
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,10,0.1841,0.725
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,11,0.1884,0.7281
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,12,0.1863,0.7292
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,13,0.1842,0.7298
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,14,0.1825,0.7354
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,15,0.187,0.7318
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,16,0.1891,0.7287
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,17,0.1886,0.7261
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,18,0.1866,0.7321
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x2,19,0.1824,0.7289
