split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.6146,0.1146,0.0685,0.3125,0.0385,0.9449
HAP1,494,26,0.0526,0.5916,0.1044,0.0741,1.0,0.0385,0.9494
HEK293FT,494,24,0.0486,0.456,0.0442,0.0,0.0,0.0,0.9474
K562,494,39,0.0789,0.7009,0.194,0.08,0.1818,0.0513,0.9069
MDA-MB-231,494,20,0.0405,0.6061,0.1018,0.0952,1.0,0.05,0.9615
THP1,494,21,0.0425,0.6114,0.1086,0.0909,1.0,0.0476,0.9595
