holdout,scheme,seed,weights,auroc,auprc
K562,lineage,4,HAP1=1.500;MDA-MB-231=0.500,0.6755,0.1582
K562,lineage,5,HAP1=1.500;MDA-MB-231=0.500,0.6606,0.1549
K562,lineage,6,HAP1=1.500;MDA-MB-231=0.500,0.6676,0.1556
K562,lineage,7,HAP1=1.500;MDA-MB-231=0.500,0.6721,0.1564
K562,posrate,0,HAP1=0.801;MDA-MB-231=1.199,0.6685,0.1581
K562,posrate,1,HAP1=0.801;MDA-MB-231=1.199,0.6635,0.1554
K562,posrate,2,HAP1=0.801;MDA-MB-231=1.199,0.6632,0.155
K562,posrate,3,HAP1=0.801;MDA-MB-231=1.199,0.6692,0.1562
K562,posrate,4,HAP1=0.801;MDA-MB-231=1.199,0.6736,0.157
K562,posrate,5,HAP1=0.801;MDA-MB-231=1.199,0.6658,0.1557
K562,posrate,6,HAP1=0.801;MDA-MB-231=1.199,0.6784,0.16
K562,posrate,7,HAP1=0.801;MDA-MB-231=1.199,0.665,0.1531
MDA-MB-231,uniform,0,HAP1=1.000;K562=1.000,0.7435,0.1584
MDA-MB-231,uniform,1,HAP1=1.000;K562=1.000,0.7497,0.1548
MDA-MB-231,uniform,2,HAP1=1.000;K562=1.000,0.7487,0.1512
MDA-MB-231,uniform,3,HAP1=1.000;K562=1.000,0.7487,0.1515
MDA-MB-231,uniform,4,HAP1=1.000;K562=1.000,0.7496,0.1584
MDA-MB-231,uniform,5,HAP1=1.000;K562=1.000,0.747,0.1535
MDA-MB-231,uniform,6,HAP1=1.000;K562=1.000,0.7539,0.1461
MDA-MB-231,uniform,7,HAP1=1.000;K562=1.000,0.7526,0.1563
MDA-MB-231,umap,0,HAP1=1.595;K562=0.405,0.7546,0.1631
MDA-MB-231,umap,1,HAP1=1.595;K562=0.405,0.7536,0.1559
MDA-MB-231,umap,2,HAP1=1.595;K562=0.405,0.7526,0.1534
MDA-MB-231,umap,3,HAP1=1.595;K562=0.405,0.7564,0.1595
MDA-MB-231,umap,4,HAP1=1.595;K562=0.405,0.7551,0.1647
MDA-MB-231,umap,5,HAP1=1.595;K562=0.405,0.7611,0.1635
MDA-MB-231,umap,6,HAP1=1.595;K562=0.405,0.7618,0.1684
MDA-MB-231,umap,7,HAP1=1.595;K562=0.405,0.7544,0.1735
MDA-MB-231,pca70,0,HAP1=1.157;K562=0.843,0.7456,0.1663
MDA-MB-231,pca70,1,HAP1=1.157;K562=0.843,0.7547,0.1598
MDA-MB-231,pca70,2,HAP1=1.157;K562=0.843,0.7471,0.1505
MDA-MB-231,pca70,3,HAP1=1.157;K562=0.843,0.7487,0.1532
MDA-MB-231,pca70,4,HAP1=1.157;K562=0.843,0.7525,0.1629
MDA-MB-231,pca70,5,HAP1=1.157;K562=0.843,0.7516,0.1601
MDA-MB-231,pca70,6,HAP1=1.157;K562=0.843,0.7554,0.1571
MDA-MB-231,pca70,7,HAP1=1.157;K562=0.843,0.7557,0.1639
MDA-MB-231,lineage,0,HAP1=1.000;K562=1.000,0.7435,0.1584
MDA-MB-231,lineage,1,HAP1=1.000;K562=1.000,0.7497,0.1548
MDA-MB-231,lineage,2,HAP1=1.000;K562=1.000,0.7487,0.1512
MDA-MB-231,lineage,3,HAP1=1.000;K562=1.000,0.7487,0.1515
MDA-MB-231,lineage,4,HAP1=1.000;K562=1.000,0.7496,0.1584
MDA-MB-231,lineage,5,HAP1=1.000;K562=1.000,0.747,0.1535
MDA-MB-231,lineage,6,HAP1=1.000;K562=1.000,0.7539,0.1461
MDA-MB-231,lineage,7,HAP1=1.000;K562=1.000,0.7526,0.1563
MDA-MB-231,posrate,0,HAP1=1.261;K562=0.739,0.7539,0.1697
MDA-MB-231,posrate,1,HAP1=1.261;K562=0.739,0.7483,0.1565
MDA-MB-231,posrate,2,HAP1=1.261;K562=0.739,0.7519,0.1555
MDA-MB-231,posrate,3,HAP1=1.261;K562=0.739,0.7548,0.1577
MDA-MB-231,posrate,4,HAP1=1.261;K562=0.739,0.7571,0.1628
MDA-MB-231,posrate,5,HAP1=1.261;K562=0.739,0.7545,0.1688
MDA-MB-231,posrate,6,HAP1=1.261;K562=0.739,0.7547,0.1603
MDA-MB-231,posrate,7,HAP1=1.261;K562=0.739,0.7517,0.1632
