holdout,config,seed,n_features,auroc,auprc
K562,sequence only (no count),15,49,0.6478,0.1476
K562,sequence only (no count),16,49,0.6635,0.1542
K562,sequence only (no count),17,49,0.663,0.1518
K562,sequence only (no count),18,49,0.6664,0.1519
K562,sequence only (no count),19,49,0.6575,0.1545
K562,no guide block,0,41,0.5687,0.1313
K562,no guide block,1,41,0.5726,0.1308
K562,no guide block,2,41,0.5708,0.1309
K562,no guide block,3,41,0.5631,0.1281
K562,no guide block,4,41,0.5684,0.1303
K562,no guide block,5,41,0.5725,0.1321
K562,no guide block,6,41,0.5647,0.1273
K562,no guide block,7,41,0.5622,0.1299
K562,no guide block,8,41,0.5665,0.1296
K562,no guide block,9,41,0.5711,0.1298
K562,no guide block,10,41,0.5741,0.1299
K562,no guide block,11,41,0.5582,0.1218
K562,no guide block,12,41,0.5673,0.1273
K562,no guide block,13,41,0.5779,0.1311
K562,no guide block,14,41,0.5782,0.1328
K562,no guide block,15,41,0.5588,0.1264
K562,no guide block,16,41,0.569,0.1309
K562,no guide block,17,41,0.5702,0.1275
K562,no guide block,18,41,0.5729,0.1278
K562,no guide block,19,41,0.5654,0.1266
MDA-MB-231,final (guide9),0,50,0.7286,0.1543
MDA-MB-231,final (guide9),1,50,0.7219,0.1581
MDA-MB-231,final (guide9),2,50,0.7193,0.1442
MDA-MB-231,final (guide9),3,50,0.7283,0.1544
MDA-MB-231,final (guide9),4,50,0.7269,0.1559
MDA-MB-231,final (guide9),5,50,0.7251,0.1495
MDA-MB-231,final (guide9),6,50,0.7217,0.1491
MDA-MB-231,final (guide9),7,50,0.7295,0.1485
MDA-MB-231,final (guide9),8,50,0.7275,0.1591
MDA-MB-231,final (guide9),9,50,0.7203,0.159
MDA-MB-231,final (guide9),10,50,0.728,0.1633
MDA-MB-231,final (guide9),11,50,0.7256,0.1551
MDA-MB-231,final (guide9),12,50,0.7324,0.1681
MDA-MB-231,final (guide9),13,50,0.7307,0.1632
MDA-MB-231,final (guide9),14,50,0.7265,0.155
MDA-MB-231,final (guide9),15,50,0.7208,0.1568
MDA-MB-231,final (guide9),16,50,0.7151,0.1483
MDA-MB-231,final (guide9),17,50,0.7291,0.155
MDA-MB-231,final (guide9),18,50,0.7251,0.1527
MDA-MB-231,final (guide9),19,50,0.7231,0.1516
MDA-MB-231,count only,0,42,0.7443,0.1786
MDA-MB-231,count only,1,42,0.7415,0.1741
MDA-MB-231,count only,2,42,0.7393,0.1691
MDA-MB-231,count only,3,42,0.7355,0.1733
MDA-MB-231,count only,4,42,0.7461,0.1817
MDA-MB-231,count only,5,42,0.7344,0.171
MDA-MB-231,count only,6,42,0.7313,0.1776
MDA-MB-231,count only,7,42,0.7418,0.1785
MDA-MB-231,count only,8,42,0.7386,0.1812
MDA-MB-231,count only,9,42,0.7443,0.177
MDA-MB-231,count only,10,42,0.7384,0.1868
MDA-MB-231,count only,11,42,0.7432,0.1783
MDA-MB-231,count only,12,42,0.734,0.1766
MDA-MB-231,count only,13,42,0.7389,0.1811
MDA-MB-231,count only,14,42,0.7382,0.1781
MDA-MB-231,count only,15,42,0.7357,0.1729
MDA-MB-231,count only,16,42,0.7357,0.176
MDA-MB-231,count only,17,42,0.742,0.182
MDA-MB-231,count only,18,42,0.7406,0.1792
MDA-MB-231,count only,19,42,0.7324,0.1763
MDA-MB-231,sequence only (no count),0,49,0.6574,0.1355
MDA-MB-231,sequence only (no count),1,49,0.6579,0.1444
MDA-MB-231,sequence only (no count),2,49,0.6537,0.1354
MDA-MB-231,sequence only (no count),3,49,0.6562,0.138
MDA-MB-231,sequence only (no count),4,49,0.657,0.1341
MDA-MB-231,sequence only (no count),5,49,0.6585,0.1414
MDA-MB-231,sequence only (no count),6,49,0.66,0.1456
MDA-MB-231,sequence only (no count),7,49,0.6653,0.1433
MDA-MB-231,sequence only (no count),8,49,0.653,0.1421
MDA-MB-231,sequence only (no count),9,49,0.6625,0.1435
MDA-MB-231,sequence only (no count),10,49,0.6539,0.132
MDA-MB-231,sequence only (no count),11,49,0.6645,0.1514
MDA-MB-231,sequence only (no count),12,49,0.6633,0.1489
MDA-MB-231,sequence only (no count),13,49,0.6637,0.1379
MDA-MB-231,sequence only (no count),14,49,0.6575,0.1386
MDA-MB-231,sequence only (no count),15,49,0.6533,0.1444
MDA-MB-231,sequence only (no count),16,49,0.6516,0.1381
MDA-MB-231,sequence only (no count),17,49,0.646,0.1326
MDA-MB-231,sequence only (no count),18,49,0.6582,0.1343
MDA-MB-231,sequence only (no count),19,49,0.6554,0.1433
MDA-MB-231,no guide block,0,41,0.6294,0.1507
MDA-MB-231,no guide block,1,41,0.6287,0.1463
MDA-MB-231,no guide block,2,41,0.6293,0.1568
MDA-MB-231,no guide block,3,41,0.6292,0.1521
MDA-MB-231,no guide block,4,41,0.6426,0.1592
MDA-MB-231,no guide block,5,41,0.6275,0.1555
MDA-MB-231,no guide block,6,41,0.63,0.1584
MDA-MB-231,no guide block,7,41,0.6275,0.1597
MDA-MB-231,no guide block,8,41,0.6292,0.1534
MDA-MB-231,no guide block,9,41,0.6249,0.152
MDA-MB-231,no guide block,10,41,0.6276,0.146
MDA-MB-231,no guide block,11,41,0.628,0.1583
MDA-MB-231,no guide block,12,41,0.6304,0.163
MDA-MB-231,no guide block,13,41,0.6388,0.149
MDA-MB-231,no guide block,14,41,0.6244,0.1476
MDA-MB-231,no guide block,15,41,0.6275,0.158
MDA-MB-231,no guide block,16,41,0.6217,0.1504
MDA-MB-231,no guide block,17,41,0.625,0.1554
MDA-MB-231,no guide block,18,41,0.6287,0.1444
MDA-MB-231,no guide block,19,41,0.6296,0.1553
