split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.5,0.0526,0.0,0.0,0.0,0.9474
HAP1,494,26,0.0526,0.5,0.0526,0.0,0.0,0.0,0.9474
HEK293FT,494,24,0.0486,0.5,0.0486,0.0,0.0,0.0,0.9514
K562,494,39,0.0789,0.5,0.0789,0.0,0.0,0.0,0.9211
MDA-MB-231,494,20,0.0405,0.5,0.0405,0.0,0.0,0.0,0.9595
THP1,494,21,0.0425,0.5,0.0425,0.0,0.0,0.0,0.9575
