trial,fold,n_val,n_pos_val,auprc,scale_pos_weight,best_n_estimators
0,0,5002,223,0.1653946651325495,1.0,105
0,1,5002,224,0.15184113895598778,1.0,35
0,2,5002,224,0.1719170813833583,1.0,63
0,3,5002,224,0.12922101206779743,1.0,59
0,4,5002,224,0.15711098475871704,1.0,37
1,0,5002,223,0.14891239000061085,1.0,85
1,1,5002,224,0.1486674699247475,1.0,36
1,2,5002,224,0.16343787753947295,1.0,41
1,3,5002,224,0.1321607121107155,1.0,55
1,4,5002,224,0.1551209125638881,1.0,38
2,0,5002,223,0.1724019900247676,1.0,550
2,1,5002,224,0.1574059590702049,1.0,372
2,2,5002,224,0.1351622890740813,1.0,61
2,3,5002,224,0.13343649049603137,1.0,417
2,4,5002,224,0.1603832005844414,1.0,506
3,0,5002,223,0.16820973395399597,1.0,583
3,1,5002,224,0.1397110257127381,1.0,156
3,2,5002,224,0.13932508637889351,1.0,88
3,3,5002,224,0.13910302823603962,1.0,710
3,4,5002,224,0.17185132687292212,1.0,464
4,0,5002,223,0.16172991083156138,1.0,279
4,1,5002,224,0.13066735950491923,1.0,111
4,2,5002,224,0.15032898528957844,1.0,203
4,3,5002,224,0.13132527522762996,1.0,306
4,4,5002,224,0.16680361215152426,1.0,289
5,0,5002,223,0.1568243723243472,1.0,84
5,1,5002,224,0.14758664852892608,1.0,80
5,2,5002,224,0.14617018247048555,1.0,59
5,3,5002,224,0.11610347096760204,1.0,73
5,4,5002,224,0.1487824568361869,1.0,104
6,0,5002,223,0.18099743670334575,1.0,522
6,1,5002,224,0.16376599325770017,1.0,275
6,2,5002,224,0.17481224983515792,1.0,341
6,3,5002,224,0.14761367816121593,1.0,375
6,4,5002,224,0.18360103177956985,1.0,375
7,0,5002,223,0.17474155392297802,1.0,401
7,1,5002,224,0.16254182392132555,1.0,245
7,2,5002,224,0.18145685694000846,1.0,413
7,3,5002,224,0.1408963867425235,1.0,375
7,4,5002,224,0.17500730480021298,1.0,287
