split,n,pearson_r,spearman_rho,rmse,mae,r2
Overall,69292,0.10700705331335073,0.09615732984614096,0.4369819220457529,0.32645045969567765,-0.027999113814121124
HAP1,13888,0.010458382860787523,0.0015886178017399074,0.5520521139320682,0.41760320976876847,-0.05864216543739653
HEK293FT,13728,0.028886049663067945,0.05615782235891708,0.43597141251939564,0.33842810496375925,-0.02027081766870653
K562,13884,0.21524154537503912,0.22697037049047789,0.441658780755571,0.3451192430708805,0.03987396655577391
MDA-MB-231,13896,0.010035796115979526,0.02730033161284752,0.44382908863044096,0.33954483990421236,-0.08610146787277784
THP1,13896,0.002233273982093789,0.02193026738989757,0.2606627271192475,0.1917703069168619,-0.16240270244695787
