cell_line,sampleID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70
K562,ACH-000551,19.0881256745237,-49.0741588133173,1.3658189632536,4.26195460209761,10.4319710581438,8.70374706645957,1.83370070172786,-6.6856895494404,-6.22555244716539,7.19213532215805,-18.2386502760524,-9.85105174519277,3.85449806517216,-31.3018694386755,-17.9609119449282,-6.29280221015532,7.14964614211403,1.11407983034539,9.70960431907702,-9.55991366585468,4.6525950830042,5.98818070638631,-5.31166904268662,-7.48093459681465,16.4760920385828,-17.4650017630068,-5.17183480032813,-18.1655820005941,17.9885805418718,-3.86292624302278,-14.7014344264009,-22.5188294236506,3.51912591801946,11.1040824035371,4.23238596129275,-12.4517840539095,0.24200192775854,17.3680691267077,7.08589066539215,-1.57754455938098,-4.06929504104633,1.67380585433588,-1.63111321197186,-15.6290499630141,5.99984837556093,-13.5142089088434,-5.25085382732052,17.7035425093615,-4.48310650945895,10.2228477537987,2.389952607073,12.4144069346023,2.21949265353143,-9.816645040423,-15.0689778292954,-11.405435421839,3.24547138755761,-17.2392569356667,5.21161939727073,5.20093855286784,-6.4592286133325,-7.10298416090637,-5.01078061788063,-1.8225334541871,4.98122730302151,6.11676210293036,2.5220651046063,-4.46818860047241,0.31061274301099,3.93849320921125
MDA-MB-231,ACH-000768,-9.37583010147855,-8.30029242793479,11.4664059619629,-7.46622311545698,-0.472890159666305,-0.525806828741474,-4.18579295649196,-15.0798236080888,-10.0713679813674,-12.713064839203,-4.65180477346633,22.3482155802214,15.1420821795885,2.31145687046486,-7.67143237756797,-19.4098626694848,-5.8506301728711,5.1500011291048,-4.42105945944089,-9.11417044626563,0.857649798181217,7.15926682241751,-13.813998065733,2.24761835376326,1.65842295068622,-1.90604270626337,-2.84717691082261,1.26091173197796,-0.67207862308448,-0.2599396810741,-0.514779468375442,-8.50016735720787,15.0354154690502,8.87447776451945,-4.09849025205781,6.40058457386154,2.63021619420193,-6.95960577691538,-3.60408498279076,11.5124695590267,7.38699417165984,10.3734792784714,8.79331369651015,10.5939398912711,-6.66130068222022,-5.72717294240014,2.31136543499348,2.28290334263601,0.996292789117064,-1.44937917170788,0.559736801362285,14.1389897326606,-10.8003758288956,0.850012802523925,0.71131290320877,-3.49171369085451,2.01105545612621,7.18872442222227,5.41873110526966,3.20483827129501,-3.68820070344094,5.78650064153367,1.32527611455019,0.916328039538592,0.0275975811040496,-5.59352784618581,-3.00194661212939,3.07017200903235,-1.32438664244613,3.74193142626729
THP1,ACH-000146,26.1565339766814,-78.5695818586898,-10.9588080276117,1.66464786791602,0.187927387085497,2.75928999162747,-0.238752658118075,-9.22132226297057,2.66547848372896,0.630913448216059,-5.85375356927539,-13.5322557594612,20.298798442544,-48.1723619758309,-17.1139094492417,3.03590922280015,8.54780990078405,0.567306542294836,-11.9240083244672,2.20800549505229,6.52979155223733,1.79654030536243,4.29079399676164,8.59349874724453,-7.96402665141019,13.7807309683572,-1.55070646127862,-0.759455122557583,-5.66383170734496,-3.02092936521374,16.2049563071566,33.9557349900287,-1.71595622138509,1.14718525399367,19.3961198318967,1.89884964190745,-6.49475275947628,-7.97218444434395,-2.59404548431671,-0.182360302740341,4.22822050789022,-0.493057118624871,5.92170382293024,-5.3036372654196,1.07501416696691,1.58224586811782,-4.18738001970358,8.48962519359906,8.73083613487847,2.70460249539767,0.751186680570115,6.92594688428533,-3.26897934937846,-16.1939404003181,1.78474988434187,-9.41623214343044,5.64433642419693,-9.95673842152174,3.02787464994003,6.12768186867567,9.76044597710626,7.26427620610683,10.4121971645842,10.7810282905438,-10.9453142514028,3.18927378955796,5.06485858946383,2.58660184171682,-1.1764152555567,-3.69393225734965
HAP1,ACH-002475,38.8022906295689,-2.00047347580743,15.5535991453557,-12.0455354944581,8.82736615269887,10.2428653673559,4.06418793712135,2.58592147183661,-12.2968710293875,-2.91387246563478,-12.2215930808317,8.64247218087556,8.84310219077269,-2.51259951698468,-0.795285826313508,4.27998679749437,8.08392605241264,9.08634502269359,6.48416475438239,-16.3051720330501,1.72470551037802,1.28731495289722,-5.28907207894665,-5.2531766634744,1.52949488319747,-7.08988211773579,7.42607272019085,5.41043549922201,-1.3111193991991,6.64704694382282,6.37122446859216,-0.858626207496006,-1.22131657999964,6.93020227643544,0.786434140051377,-2.17638807127637,3.0838820246853,-6.3189870472211,7.36385280417594,-8.03965907140641,5.12359151639765,15.1482239124958,2.75834319532014,5.3569269864591,7.53212746566499,1.66048000351468,3.48490082948461,-0.405713405366904,0.816794147618935,-2.12484347597481,-0.580606693155207,0.286458164911724,-8.91061337552398,-3.76683041749824,-4.32507042274739,-6.20145271062258,-9.7606929360868,-8.51210285683211,2.6732242434176,11.007696842818,0.899794325102984,1.93731052229461,-5.76316578033428,-4.27276913359745,-2.15071050516372,1.79911626407076,-1.09759838770962,3.58244282144667,-0.873166189773858,-0.193190024221128
