trial,fold,n_val,n_pos_val,auprc,C
0,0,5002,223,0.12399790736017806,0.017670169402947963
0,1,5002,224,0.10177019651164654,0.017670169402947963
0,2,5002,224,0.12913100111437614,0.017670169402947963
0,3,5002,224,0.10396887623362008,0.017670169402947963
0,4,5002,224,0.15035764372285512,0.017670169402947963
1,0,5002,223,0.09715296519639834,50.615768887523046
1,1,5002,224,0.0955579017849509,50.615768887523046
1,2,5002,224,0.10639915400226448,50.615768887523046
1,3,5002,224,0.07615443748798817,50.615768887523046
1,4,5002,224,0.1014398889636815,50.615768887523046
2,0,5002,223,0.12289303980729237,2.4658329458549115
2,1,5002,224,0.09968314704440095,2.4658329458549115
2,2,5002,224,0.13132565506858074,2.4658329458549115
2,3,5002,224,0.09666093908619126,2.4658329458549115
2,4,5002,224,0.1459439059166046,2.4658329458549115
3,0,5002,223,0.12447836151036636,0.39079671568228824
3,1,5002,224,0.10105314604690743,0.39079671568228824
3,2,5002,224,0.13126781221175954,0.39079671568228824
3,3,5002,224,0.10341683039920281,0.39079671568228824
3,4,5002,224,0.14787184192354058,0.39079671568228824
4,0,5002,223,0.12362029744301302,0.0008632008168602552
4,1,5002,224,0.10196618551411753,0.0008632008168602552
4,2,5002,224,0.12864591686656673,0.0008632008168602552
4,3,5002,224,0.10450156292413229,0.0008632008168602552
4,4,5002,224,0.1508764659575284,0.0008632008168602552
5,0,5002,223,0.12365603498773102,0.0008629132190071866
5,1,5002,224,0.10197119203055093,0.0008629132190071866
5,2,5002,224,0.12868884557493687,0.0008629132190071866
5,3,5002,224,0.10449923724444636,0.0008629132190071866
5,4,5002,224,0.15102043940052456,0.0008629132190071866
6,0,5002,223,0.12366314197373093,0.00022310108018679258
6,1,5002,224,0.10154395247582744,0.00022310108018679258
6,2,5002,224,0.1282307791737265,0.00022310108018679258
6,3,5002,224,0.10479717860623392,0.00022310108018679258
6,4,5002,224,0.1504016195792244,0.00022310108018679258
7,0,5002,223,0.1089737405867244,15.741890047456641
7,1,5002,224,0.09079901333759857,15.741890047456641
7,2,5002,224,0.11847260562474657,15.741890047456641
7,3,5002,224,0.08203741224974523,15.741890047456641
7,4,5002,224,0.11586330553121382,15.741890047456641
8,0,5002,223,0.12446435380140819,0.4042872735027334
8,1,5002,224,0.10096597190158724,0.4042872735027334
8,2,5002,224,0.13127224933549292,0.4042872735027334
8,3,5002,224,0.1034069264600875,0.4042872735027334
8,4,5002,224,0.14787103029829174,0.4042872735027334
9,0,5002,223,0.12387062084857198,1.7718847354806824
9,1,5002,224,0.10019594549996502,1.7718847354806824
9,2,5002,224,0.13181971700167613,1.7718847354806824
9,3,5002,224,0.09877052779803085,1.7718847354806824
9,4,5002,224,0.14699049125518177,1.7718847354806824
10,0,5002,223,0.12416574391831411,0.007380265896572938
10,1,5002,224,0.10173439179804998,0.007380265896572938
10,2,5002,224,0.12913572283378302,0.007380265896572938
10,3,5002,224,0.10397917486042582,0.007380265896572938
10,4,5002,224,0.15073667560891546,0.007380265896572938
11,0,5002,223,0.1241739825836243,0.0066894664509442375
11,1,5002,224,0.10172417473956596,0.0066894664509442375
11,2,5002,224,0.12917938848957153,0.0066894664509442375
11,3,5002,224,0.10395692512005916,0.0066894664509442375
11,4,5002,224,0.15079158368067602,0.0066894664509442375
12,0,5002,223,0.12417888646011159,0.006135493016437783
12,1,5002,224,0.10173919611445986,0.006135493016437783
12,2,5002,224,0.12917173151251782,0.006135493016437783
12,3,5002,224,0.10405084381261341,0.006135493016437783
12,4,5002,224,0.1507858103514162,0.006135493016437783
13,0,5002,223,0.12373088700180501,0.0015308186710026193
13,1,5002,224,0.1016732241024301,0.0015308186710026193
13,2,5002,224,0.1290826321977532,0.0015308186710026193
13,3,5002,224,0.10433104747935323,0.0015308186710026193
13,4,5002,224,0.1509891973455357,0.0015308186710026193
14,0,5002,223,0.1236525646645991,0.00012026555233875583
14,1,5002,224,0.10155510962649726,0.00012026555233875583
14,2,5002,224,0.12864974723993847,0.00012026555233875583
14,3,5002,224,0.10482941671627169,0.00012026555233875583
14,4,5002,224,0.15024302769193568,0.00012026555233875583
15,0,5002,223,0.12386632422497151,0.053934885017475426
15,1,5002,224,0.10172170975935968,0.053934885017475426
15,2,5002,224,0.12909614805590763,0.053934885017475426
15,3,5002,224,0.10396174349610023,0.053934885017475426
15,4,5002,224,0.14949958533951413,0.053934885017475426
16,0,5002,223,0.12373904794016996,0.0014360713128263093
16,1,5002,224,0.10170112266798768,0.0014360713128263093
16,2,5002,224,0.12906917738021423,0.0014360713128263093
16,3,5002,224,0.10433279607750584,0.0014360713128263093
16,4,5002,224,0.15102450171397455,0.0014360713128263093
17,0,5002,223,0.12381429871230115,0.08101050623805962
17,1,5002,224,0.10161397446407626,0.08101050623805962
17,2,5002,224,0.12905964463628897,0.08101050623805962
17,3,5002,224,0.10400473989777133,0.08101050623805962
17,4,5002,224,0.14928572313720123,0.08101050623805962
18,0,5002,223,0.1240779752776073,0.0032141588636729903
