trial,fold,n_val,n_pos_val,auprc,scale_pos_weight,best_n_estimators
0,0,5002,223,0.11735696924871712,58.87326767706231,150
0,1,5002,224,0.12209246621065564,58.96512063854332,53
0,2,5002,224,0.136082655139114,58.96512063854332,191
0,3,5002,224,0.10358160084292904,58.96512063854332,120
0,4,5002,224,0.1191826112055737,58.87326767706231,81
1,0,5002,223,0.1465147638083134,8.867050277278352,47
1,1,5002,224,0.1292752489034906,8.880884481828312,51
1,2,5002,224,0.16565706917837164,8.880884481828312,134
1,3,5002,224,0.11961349779045485,8.880884481828312,29
1,4,5002,224,0.13105696518660429,8.867050277278352,62
2,0,5002,223,0.13896357509428642,14.725896784934838,168
2,1,5002,224,0.13864972355918645,14.7488718512685,61
2,2,5002,224,0.15901386325623482,14.7488718512685,132
2,3,5002,224,0.1288515764132883,14.7488718512685,99
2,4,5002,224,0.14248721985065516,14.725896784934838,49
3,0,5002,223,0.14486025614058448,8.555977633754308,63
3,1,5002,224,0.12839458736838952,8.569326508634779,43
3,2,5002,224,0.16190946209987714,8.569326508634779,33
3,3,5002,224,0.1061637364581854,8.569326508634779,30
3,4,5002,224,0.12502039655843683,8.555977633754308,21
4,0,5002,223,0.11249303323665574,18.069017931490528,105
4,1,5002,224,0.11188673442021889,18.09720887236313,117
4,2,5002,224,0.106136036054324,18.09720887236313,102
4,3,5002,224,0.07678073640486326,18.09720887236313,9
4,4,5002,224,0.09773897183473021,18.069017931490528,125
5,0,5002,223,0.1434100648064894,22.55082487778963,58
5,1,5002,224,0.13554554063357555,22.5860082493026,64
5,2,5002,224,0.15853484473310367,22.5860082493026,192
5,3,5002,224,0.12256981870458504,22.5860082493026,214
5,4,5002,224,0.13885632926879124,22.55082487778963,178
6,0,5002,223,0.11442005027099898,68.70452219106298,353
6,1,5002,224,0.08843968175088548,68.81171369035266,40
6,2,5002,224,0.12295126250548906,68.81171369035266,254
6,3,5002,224,0.10059400462275415,68.81171369035266,80
6,4,5002,224,0.11451460002164981,68.70452219106298,117
7,0,5002,223,0.15193215629911225,14.338771544126484,326
