split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.5939,0.1005,0.117,0.0659,0.5231,0.5846
HAP1,494,26,0.0526,0.4435,0.0501,0.0816,0.0471,0.3077,0.6356
HEK293FT,494,24,0.0486,0.5667,0.0607,0.1022,0.0554,0.6667,0.4312
K562,494,39,0.0789,0.7256,0.1896,0.1494,0.0807,1.0,0.1012
MDA-MB-231,494,20,0.0405,0.5983,0.1344,0.16,0.4,0.1,0.9575
THP1,494,21,0.0425,0.5662,0.0496,0.0566,0.0353,0.1429,0.7976
