split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.5872,0.1079,0.0892,0.2593,0.0538,0.9421
HAP1,494,26,0.0526,0.5575,0.1274,0.069,0.3333,0.0385,0.9453
HEK293FT,494,24,0.0486,0.4697,0.0519,0.0,0.0,0.0,0.9453
K562,494,39,0.0789,0.6568,0.1806,0.1379,0.2105,0.1026,0.8988
MDA-MB-231,494,20,0.0405,0.5943,0.1163,0.0952,1.0,0.05,0.9615
THP1,494,21,0.0425,0.5416,0.1094,0.0909,1.0,0.0476,0.9595
