split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.6352,0.105,0.0411,0.1875,0.0231,0.9433
HAP1,494,26,0.0526,0.5385,0.0898,0.0,0.0,0.0,0.9474
HEK293FT,494,24,0.0486,0.5992,0.068,0.0,0.0,0.0,0.9514
K562,494,39,0.0789,0.6964,0.1692,0.1091,0.1875,0.0769,0.9008
MDA-MB-231,494,20,0.0405,0.6268,0.1141,0.0,0.0,0.0,0.9595
THP1,494,21,0.0425,0.6183,0.1272,0.0,0.0,0.0,0.9575
