split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.598,0.1015,0.0559,0.3077,0.0308,0.9453
HAP1,494,26,0.0526,0.5457,0.1109,0.0,0.0,0.0,0.9474
HEK293FT,494,24,0.0486,0.5078,0.052,0.0,0.0,0.0,0.9474
K562,494,39,0.0789,0.7041,0.1801,0.0833,0.2222,0.0513,0.9109
MDA-MB-231,494,20,0.0405,0.514,0.1022,0.0952,1.0,0.05,0.9615
THP1,494,21,0.0425,0.5643,0.1294,0.0909,1.0,0.0476,0.9595
