split,n,n_pos,pos_rate,auroc,auprc,f1,precision,recall,accuracy
Overall,2470,130,0.0526,0.7049,0.1403,0.1935,0.2414,0.1615,0.9291
HAP1,494,26,0.0526,0.6196,0.1129,0.1622,0.2727,0.1154,0.9372
HEK293FT,494,24,0.0486,0.6831,0.1096,0.1395,0.1579,0.125,0.9251
K562,494,39,0.0789,0.7307,0.2259,0.3077,0.2692,0.359,0.8725
MDA-MB-231,494,20,0.0405,0.7709,0.1648,0.0909,0.5,0.05,0.9595
THP1,494,21,0.0425,0.6861,0.0974,0.0,0.0,0.0,0.9514
