trial,fold,n_val,n_pos_val,auprc,scale_pos_weight,best_n_estimators
0,0,5002,223,0.10803462116971858,58.87326767706231,47
0,1,5002,224,0.08237298179358192,58.96512063854332,18
0,2,5002,224,0.14260581445639608,58.96512063854332,213
0,3,5002,224,0.10508902647547003,58.96512063854332,73
0,4,5002,224,0.10378129739979615,58.87326767706231,20
1,0,5002,223,0.15252126778548183,8.867050277278352,59
1,1,5002,224,0.13790712045403763,8.880884481828312,64
1,2,5002,224,0.1633538292880419,8.880884481828312,148
1,3,5002,224,0.11588265734481161,8.880884481828312,12
1,4,5002,224,0.1406660584483921,8.867050277278352,31
2,0,5002,223,0.14207015621150543,14.725896784934838,51
2,1,5002,224,0.12368188486250054,14.7488718512685,20
2,2,5002,224,0.18273992122917684,14.7488718512685,116
2,3,5002,224,0.13894437850590302,14.7488718512685,120
2,4,5002,224,0.16107951832328837,14.725896784934838,71
3,0,5002,223,0.12074714320412841,8.555977633754308,15
3,1,5002,224,0.14056375385718145,8.569326508634779,46
3,2,5002,224,0.1734471495447465,8.569326508634779,43
3,3,5002,224,0.1094538266158967,8.569326508634779,17
3,4,5002,224,0.12424779757409853,8.555977633754308,59
4,0,5002,223,0.09991401650609752,18.069017931490528,107
4,1,5002,224,0.10911509679178294,18.09720887236313,511
4,2,5002,224,0.14867333736284988,18.09720887236313,81
4,3,5002,224,0.09105787510165461,18.09720887236313,19
4,4,5002,224,0.10346913996622983,18.069017931490528,78
5,0,5002,223,0.13426596237631094,22.55082487778963,70
5,1,5002,224,0.14581735269623303,22.5860082493026,202
5,2,5002,224,0.1813536079551153,22.5860082493026,189
5,3,5002,224,0.12812663579889003,22.5860082493026,124
5,4,5002,224,0.17245908307463134,22.55082487778963,177
6,0,5002,223,0.12255650966213476,68.70452219106298,270
6,1,5002,224,0.1106210196506807,68.81171369035266,178
6,2,5002,224,0.14607444278677378,68.81171369035266,175
6,3,5002,224,0.11806073015540706,68.81171369035266,156
6,4,5002,224,0.15280591453174058,68.70452219106298,122
7,0,5002,223,0.15180643859388984,14.338771544126484,439
7,1,5002,224,0.14708069369618737,14.361142624963243,175
7,2,5002,224,0.15288842975727954,14.361142624963243,36
7,3,5002,224,0.14134312032961271,14.361142624963243,436
7,4,5002,224,0.1817886484535003,14.338771544126484,345
8,0,5002,223,0.16192567499396188,9.251574677715801,130
8,1,5002,224,0.14887246109788502,9.266008809980589,59
8,2,5002,224,0.19393352652518875,9.266008809980589,95
8,3,5002,224,0.134521851857161,9.266008809980589,75
8,4,5002,224,0.17173518918672448,9.251574677715801,86
9,0,5002,223,0.1566744639568584,7.352895363088634,57
9,1,5002,224,0.14328468685016366,7.364367211708697,21
9,2,5002,224,0.18370237921013396,7.364367211708697,51
9,3,5002,224,0.11776730146856398,7.364367211708697,19
9,4,5002,224,0.15393376608286002,7.352895363088634,38
10,0,5002,223,0.11785926041267865,36.120236728795675,50
10,1,5002,224,0.10643579182621926,36.17659084066754,24
10,2,5002,224,0.09934917856597304,36.17659084066754,48
11,0,5002,223,0.15132395709838908,12.672292164606393,340
11,1,5002,224,0.15247462810846163,12.692063235756317,119
11,2,5002,224,0.18413114785124016,12.692063235756317,47
11,3,5002,224,0.1389506421972853,12.692063235756317,212
11,4,5002,224,0.17350367154088156,12.672292164606393,179
12,0,5002,223,0.17340034712551872,6.090189416826452,46
12,1,5002,224,0.15183052631806812,6.099691215452347,113
12,2,5002,224,0.1980263703654999,6.099691215452347,130
12,3,5002,224,0.14122290971857346,6.099691215452347,113
12,4,5002,224,0.1695235215067998,6.090189416826452,45
13,0,5002,223,0.1354840950046751,5.3738085047453055,13
13,1,5002,224,0.13450503423315888,5.382192619387969,25
13,2,5002,224,0.1865076073740829,5.382192619387969,35
13,3,5002,224,0.11149349133831761,5.382192619387969,39
13,4,5002,224,0.1402716494517563,5.3738085047453055,33
14,0,5002,223,0.16462461287743113,5.361066945978861,74
14,1,5002,224,0.15677523918333133,5.3694311814819295,120
14,2,5002,224,0.1802387178478146,5.3694311814819295,37
14,3,5002,224,0.1458496648856511,5.3694311814819295,116
14,4,5002,224,0.16978678726825505,5.361066945978861,106
15,0,5002,223,0.14978859956558432,5.362573988324489,48
15,1,5002,224,0.1434447772838077,5.370940575086593,76
15,2,5002,224,0.1888412884537206,5.370940575086593,180
15,3,5002,224,0.13416822652791,5.370940575086593,195
15,4,5002,224,0.17302706659789005,5.362573988324489,175
16,0,5002,223,0.1695125697328077,6.357624679529348,48
16,1,5002,224,0.15586342676313913,6.36754372560647,142
16,2,5002,224,0.20312892853183817,6.36754372560647,128
16,3,5002,224,0.13907505604157777,6.36754372560647,120
16,4,5002,224,0.17638300387958553,6.357624679529348,156
17,0,5002,223,0.1266355264586977,7.214465038397166,46
17,1,5002,224,0.09962744683329591,7.22572091063638,11
17,2,5002,224,0.18979709240246034,7.22572091063638,491
18,0,5002,223,0.14613296578975116,11.108115982516287,50
18,1,5002,224,0.13245180182231683,11.125446655497875,57
18,2,5002,224,0.17244094614634206,11.125446655497875,49
19,0,5002,223,0.1282914872630322,20.794810954969325,63
19,1,5002,224,0.11778346742093879,20.82725462669023,96
